"","Reporting.country","X2018.Q2"
"1","Australia",196290.725
"2","Belgium",35992
"3","Canada",242895.148
"4","Chinese Taipei",112044
"5","Finland",7231
"6","France",476060
"7","Germany",509167
"8","Greece",31955
"9","India",10622
"10","Ireland",38679.492
"11","Italy",247149.46
"12","Netherlands",160376.774
"13","Portugal",30688.552
"14","Singapore",88725.2
"15","South Korea",173528.385
"16","Spain",293665.644
"17","Sweden",96426.501
"18","Switzerland",165399.277
"19","Turkey",58544.164
"20","United Kingdom",473852
"21","United States",1605782.466
